Order ID,Order Date,Ship Date,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100061,24-05-2022,28-05-2022,Customer 157,Consumer,Houston,NY,West,Furniture,Bookcases,Bookcases Model 304,789.96,6,0,217.63
ORD-100062,15-02-2023,19-02-2023,Customer 143,Consumer,Phoenix,IL,South,Furniture,Bookcases,Bookcases Model 981,340.24,6,0.2,13.86
ORD-100063,04-02-2021,10-02-2021,Customer 481,Consumer,Los Angeles,IL,West,Office Supplies,Storage,Storage Model 325,458.99,5,0.05,117.35
ORD-100064,25-07-2021,28-07-2021,Customer 20,Consumer,San Diego,IL,Central,Office Supplies,Storage,Storage Model 159,164.5,2,0,36.23
ORD-100065,10-01-2024,12-01-2024,Customer 198,Home Office,Houston,IL,East,Furniture,Chairs,Chairs Model 509,768.33,1,0,200.19
ORD-100066,23-10-2023,27-10-2023,Customer 1,Home Office,Houston,IL,South,Office Supplies,Appliances,Appliances Model 257,122.47,1,0.2,5.05
ORD-100067,19-10-2023,22-10-2023,Customer 320,Corporate,Los Angeles,IL,Central,Technology,Machines,Machines Model 676,859.48,8,0,272.68
ORD-100068,20-07-2022,26-07-2022,Customer 168,Corporate,Phoenix,AZ,West,Office Supplies,Appliances,Appliances Model 892,354.2,8,0.3,-13.52
ORD-100069,04-02-2024,07-02-2024,Customer 341,Corporate,Chicago,AZ,Central,Technology,Copiers,Copiers Model 512,649.92,3,0,177.41
ORD-100070,04-12-2022,08-12-2022,Customer 156,Corporate,Houston,TX,Central,Furniture,Chairs,Chairs Model 519,966.9,9,0,231.62
ORD-100071,06-02-2022,07-02-2022,Customer 227,Home Office,Houston,AZ,South,Furniture,Furnishings,Furnishings Model 533,386.07,1,0.15,28.69
ORD-100072,31-12-2022,02-01-2023,Customer 338,Consumer,Phoenix,AZ,Central,Office Supplies,Paper,Paper Model 277,836.33,9,0.05,196.3
ORD-100073,11-06-2021,13-06-2021,Customer 345,Corporate,Houston,CA,West,Technology,Accessories,Accessories Model 329,168.43,1,0.1,23.18
ORD-100074,21-07-2021,22-07-2021,Customer 126,Corporate,Los Angeles,TX,South,Technology,Phones,Phones Model 187,675.13,6,0.3,-26.06
ORD-100075,23-09-2023,27-09-2023,Customer 368,Home Office,San Diego,TX,South,Office Supplies,Paper,Paper Model 700,949.94,6,0.15,96.82
ORD-100076,27-09-2021,29-09-2021,Customer 336,Home Office,New York,NY,South,Technology,Accessories,Accessories Model 160,414.62,3,0.1,71.25
ORD-100077,27-03-2023,31-03-2023,Customer 412,Home Office,San Jose,NY,West,Technology,Accessories,Accessories Model 280,743.39,9,0.1,141.09
ORD-100078,18-07-2024,24-07-2024,Customer 69,Corporate,Dallas,TX,South,Technology,Copiers,Copiers Model 871,99.09,5,0.05,23.19
ORD-100079,01-04-2022,05-04-2022,Customer 460,Consumer,San Jose,TX,Central,Office Supplies,Appliances,Appliances Model 211,283.13,7,0,72.21
ORD-100080,29-06-2024,02-07-2024,Customer 393,Home Office,San Jose,CA,Central,Technology,Machines,Machines Model 116,518.9,6,0.3,-23.61
ORD-100081,14-10-2023,15-10-2023,Customer 366,Corporate,Houston,IL,Central,Furniture,Chairs,Chairs Model 216,522.32,3,0,139.95
ORD-100082,23-10-2021,27-10-2021,Customer 71,Consumer,Houston,TX,West,Furniture,Chairs,Chairs Model 724,712.51,3,0.1,95.93
ORD-100083,21-12-2022,27-12-2022,Customer 33,Corporate,San Diego,IL,South,Office Supplies,Paper,Paper Model 246,33.25,5,0.05,4.96
ORD-100084,04-12-2021,09-12-2021,Customer 106,Corporate,San Diego,AZ,East,Furniture,Chairs,Chairs Model 767,985.23,6,0.05,165.62
ORD-100085,29-05-2023,30-05-2023,Customer 245,Consumer,Dallas,IL,South,Office Supplies,Appliances,Appliances Model 779,464.77,4,0.1,84.34
ORD-100086,13-12-2023,15-12-2023,Customer 250,Consumer,Phoenix,TX,South,Furniture,Tables,Tables Model 563,385.74,9,0.2,19.46
ORD-100087,03-03-2023,06-03-2023,Customer 173,Home Office,San Diego,CA,South,Technology,Copiers,Copiers Model 526,902.89,2,0.05,195.02
ORD-100088,05-08-2021,07-08-2021,Customer 465,Corporate,New York,NY,South,Technology,Phones,Phones Model 294,434.09,9,0,81.09
ORD-100089,03-02-2023,09-02-2023,Customer 94,Consumer,Phoenix,TX,Central,Technology,Copiers,Copiers Model 665,375.51,3,0,104.23
ORD-100090,07-07-2021,13-07-2021,Customer 168,Corporate,San Diego,IL,South,Technology,Copiers,Copiers Model 277,191.29,2,0.2,9.92
ORD-100091,15-01-2022,17-01-2022,Customer 241,Consumer,New York,IL,West,Furniture,Chairs,Chairs Model 516,626.56,1,0.3,-40.27
ORD-100092,08-05-2022,09-05-2022,Customer 400,Home Office,New York,NY,West,Office Supplies,Binders,Binders Model 593,361.63,7,0.2,14.64
ORD-100093,01-12-2023,03-12-2023,Customer 319,Consumer,Houston,CA,South,Technology,Phones,Phones Model 948,545.85,5,0.1,97.24
ORD-100094,26-03-2024,30-03-2024,Customer 289,Consumer,San Jose,IL,Central,Office Supplies,Binders,Binders Model 661,897.13,6,0.1,114.38
ORD-100095,15-01-2021,17-01-2021,Customer 399,Consumer,Phoenix,NY,East,Technology,Phones,Phones Model 334,633.46,7,0.3,-29.86
ORD-100096,06-03-2021,09-03-2021,Customer 204,Home Office,Houston,NY,West,Furniture,Furnishings,Furnishings Model 282,232.48,4,0.1,44.72
ORD-100097,05-06-2022,08-06-2022,Customer 436,Home Office,Los Angeles,AZ,East,Technology,Machines,Machines Model 656,89.76,7,0.05,17.24
ORD-100098,29-09-2024,04-10-2024,Customer 339,Corporate,Los Angeles,AZ,Central,Furniture,Furnishings,Furnishings Model 437,269.06,5,0.1,40
ORD-100099,27-02-2024,01-03-2024,Customer 422,Corporate,Los Angeles,TX,Central,Technology,Copiers,Copiers Model 771,866.68,3,0.2,35.35
ORD-100100,10-10-2022,12-10-2022,Customer 363,Consumer,San Diego,CA,Central,Office Supplies,Appliances,Appliances Model 127,719.84,8,0.2,29.25
ORD-100101,23-12-2023,26-12-2023,Customer 239,Corporate,Phoenix,IL,West,Office Supplies,Appliances,Appliances Model 884,427.46,3,0.2,19.68
ORD-100102,08-03-2024,09-03-2024,Customer 452,Corporate,Houston,TX,South,Technology,Machines,Machines Model 931,739.54,8,0.05,122.72
ORD-100103,16-08-2022,19-08-2022,Customer 254,Corporate,Chicago,TX,West,Furniture,Chairs,Chairs Model 566,209.58,1,0.1,31.82
ORD-100104,27-01-2022,31-01-2022,Customer 175,Corporate,Phoenix,AZ,East,Furniture,Bookcases,Bookcases Model 989,242.98,1,0.15,18.87
ORD-100105,23-02-2022,24-02-2022,Customer 44,Consumer,San Diego,TX,West,Office Supplies,Paper,Paper Model 516,779.83,1,0.3,-44.92
ORD-100106,16-10-2021,21-10-2021,Customer 331,Home Office,San Jose,TX,East,Office Supplies,Appliances,Appliances Model 551,352.87,3,0.2,20.4
ORD-100107,14-01-2022,18-01-2022,Customer 114,Corporate,Houston,IL,Central,Technology,Machines,Machines Model 326,657.81,5,0.05,126.6
ORD-100108,19-08-2021,21-08-2021,Customer 218,Home Office,Dallas,IL,South,Furniture,Bookcases,Bookcases Model 927,683.44,9,0.2,44.4
ORD-100109,15-10-2023,17-10-2023,Customer 129,Consumer,Los Angeles,CA,Central,Furniture,Bookcases,Bookcases Model 785,984.06,4,0.2,43.9
ORD-100110,10-02-2021,12-02-2021,Customer 99,Consumer,San Jose,IL,Central,Technology,Accessories,Accessories Model 143,489.87,1,0,88.68
ORD-100111,18-11-2023,22-11-2023,Customer 152,Consumer,Dallas,CA,Central,Technology,Accessories,Accessories Model 406,385.98,6,0,115.86
ORD-100112,15-05-2021,19-05-2021,Customer 141,Consumer,New York,AZ,Central,Technology,Accessories,Accessories Model 809,621.89,1,0,185.13
ORD-100113,20-07-2021,24-07-2021,Customer 327,Corporate,Los Angeles,NY,Central,Office Supplies,Paper,Paper Model 663,322.3,9,0.3,-18.04
ORD-100114,19-02-2023,20-02-2023,Customer 226,Corporate,Chicago,NY,Central,Furniture,Furnishings,Furnishings Model 981,674.07,9,0.2,32.63
ORD-100115,19-07-2023,25-07-2023,Customer 421,Consumer,San Diego,TX,East,Furniture,Chairs,Chairs Model 720,73.13,1,0.15,5.47
ORD-100116,23-11-2023,24-11-2023,Customer 78,Consumer,Phoenix,NY,West,Office Supplies,Binders,Binders Model 680,415.57,1,0.05,79.17
ORD-100117,08-12-2023,10-12-2023,Customer 311,Home Office,Houston,AZ,South,Technology,Copiers,Copiers Model 762,958.67,7,0.3,-53.5
ORD-100118,18-05-2022,24-05-2022,Customer 153,Home Office,San Diego,IL,East,Furniture,Furnishings,Furnishings Model 212,578.09,2,0.2,21.49
ORD-100119,11-02-2022,14-02-2022,Customer 486,Consumer,Houston,IL,East,Office Supplies,Binders,Binders Model 220,228.59,8,0.15,22.95
ORD-100120,16-03-2023,18-03-2023,Customer 89,Home Office,Los Angeles,CA,East,Technology,Accessories,Accessories Model 871,147.19,2,0.05,37.32
ORD-100121,09-04-2021,14-04-2021,Customer 353,Home Office,San Jose,IL,East,Furniture,Furnishings,Furnishings Model 627,268.54,1,0,54.48
ORD-100122,15-11-2022,16-11-2022,Customer 362,Corporate,San Jose,NY,West,Technology,Machines,Machines Model 161,995.57,7,0.05,212.19
ORD-100123,27-12-2022,31-12-2022,Customer 218,Consumer,Houston,CA,Central,Furniture,Tables,Tables Model 214,350.96,1,0.05,82.15
ORD-100124,19-08-2023,20-08-2023,Customer 31,Consumer,Phoenix,AZ,Central,Technology,Phones,Phones Model 486,726.74,3,0.05,132.69
ORD-100125,05-09-2022,09-09-2022,Customer 240,Home Office,Phoenix,TX,Central,Furniture,Chairs,Chairs Model 810,728.93,2,0,197.59
ORD-100126,05-10-2022,11-10-2022,Customer 225,Consumer,New York,TX,Central,Office Supplies,Appliances,Appliances Model 302,286.8,5,0.1,51.69
ORD-100127,26-10-2023,31-10-2023,Customer 14,Consumer,Houston,AZ,East,Office Supplies,Storage,Storage Model 620,467.04,5,0.15,55.86
ORD-100128,26-05-2024,01-06-2024,Customer 296,Consumer,Chicago,TX,South,Office Supplies,Storage,Storage Model 119,306.57,1,0.05,71.31
ORD-100129,18-05-2022,23-05-2022,Customer 300,Corporate,San Jose,NY,South,Furniture,Tables,Tables Model 585,989.43,6,0,288.84
ORD-100130,06-02-2023,07-02-2023,Customer 171,Corporate,Los Angeles,CA,Central,Furniture,Furnishings,Furnishings Model 949,942.98,4,0.1,107.95
ORD-100131,02-02-2022,06-02-2022,Customer 148,Home Office,San Diego,AZ,East,Furniture,Furnishings,Furnishings Model 592,420.75,4,0,113.43
ORD-100132,21-05-2023,27-05-2023,Customer 162,Corporate,Dallas,NY,South,Furniture,Chairs,Chairs Model 571,682.13,4,0.3,-35.61
ORD-100133,06-03-2023,11-03-2023,Customer 337,Home Office,San Jose,TX,East,Office Supplies,Binders,Binders Model 480,48,5,0,10.51
ORD-100134,28-01-2022,30-01-2022,Customer 319,Corporate,San Jose,NY,West,Technology,Machines,Machines Model 441,896.22,8,0,267.16
ORD-100135,26-07-2021,28-07-2021,Customer 475,Corporate,San Jose,TX,East,Furniture,Tables,Tables Model 644,112.18,4,0.15,12.04
ORD-100136,05-11-2023,11-11-2023,Customer 364,Consumer,Phoenix,AZ,East,Technology,Accessories,Accessories Model 526,751.39,4,0.1,141.96
ORD-100137,11-06-2023,15-06-2023,Customer 48,Consumer,Los Angeles,TX,East,Office Supplies,Appliances,Appliances Model 760,918.31,4,0,253.24
ORD-100138,14-05-2023,20-05-2023,Customer 256,Home Office,Phoenix,AZ,Central,Office Supplies,Paper,Paper Model 912,725.7,9,0,203.81
ORD-100139,13-01-2023,14-01-2023,Customer 242,Consumer,San Jose,AZ,West,Furniture,Furnishings,Furnishings Model 612,429.1,2,0.2,21.74
ORD-100140,18-06-2024,23-06-2024,Customer 472,Home Office,Chicago,NY,Central,Furniture,Tables,Tables Model 885,455.47,9,0.2,25.85
ORD-100141,18-07-2022,19-07-2022,Customer 479,Home Office,Phoenix,NY,Central,Furniture,Bookcases,Bookcases Model 235,997.63,1,0.1,177.52
ORD-100142,18-10-2023,20-10-2023,Customer 429,Home Office,San Jose,CA,South,Office Supplies,Storage,Storage Model 779,31.54,9,0.05,5.48
ORD-100143,06-04-2021,11-04-2021,Customer 177,Corporate,San Diego,TX,Central,Office Supplies,Appliances,Appliances Model 722,192.52,2,0.2,8.54
ORD-100144,30-04-2022,06-05-2022,Customer 293,Corporate,Houston,TX,East,Technology,Accessories,Accessories Model 945,333.78,9,0.3,-19.75
ORD-100145,19-08-2021,20-08-2021,Customer 362,Corporate,San Diego,CA,South,Furniture,Furnishings,Furnishings Model 919,326.92,9,0.3,-16.08
ORD-100146,19-01-2023,22-01-2023,Customer 258,Home Office,Dallas,NY,South,Technology,Accessories,Accessories Model 444,645.77,1,0.2,41.42
ORD-100147,09-04-2024,13-04-2024,Customer 8,Home Office,Chicago,TX,West,Technology,Copiers,Copiers Model 870,205.7,8,0.2,7.77
ORD-100148,25-06-2022,29-06-2022,Customer 401,Corporate,Dallas,AZ,South,Technology,Copiers,Copiers Model 591,696.81,9,0.3,-37.99
ORD-100149,26-11-2023,29-11-2023,Customer 437,Corporate,San Diego,IL,South,Office Supplies,Binders,Binders Model 958,162.66,2,0.05,24.97
ORD-100150,09-06-2022,11-06-2022,Customer 317,Consumer,Houston,IL,West,Office Supplies,Binders,Binders Model 296,498.83,1,0.05,122.89
ORD-100151,29-03-2024,03-04-2024,Customer 223,Consumer,Los Angeles,TX,West,Office Supplies,Binders,Binders Model 665,674,7,0.3,-25.7
ORD-100152,20-06-2024,24-06-2024,Customer 463,Consumer,New York,IL,East,Office Supplies,Storage,Storage Model 328,896.09,9,0.05,163.71
ORD-100153,15-01-2024,18-01-2024,Customer 192,Corporate,Chicago,CA,South,Furniture,Bookcases,Bookcases Model 300,181.42,1,0.3,-7.44
ORD-100154,01-08-2022,07-08-2022,Customer 88,Consumer,Los Angeles,AZ,South,Office Supplies,Paper,Paper Model 441,691.73,8,0.05,109.08
ORD-100155,13-11-2022,16-11-2022,Customer 255,Home Office,Chicago,CA,South,Office Supplies,Paper,Paper Model 879,577.9,8,0.1,102.7
ORD-100156,11-07-2022,13-07-2022,Customer 236,Corporate,New York,TX,Central,Office Supplies,Storage,Storage Model 570,722,9,0.1,131.04
ORD-100157,10-10-2023,12-10-2023,Customer 38,Corporate,Dallas,AZ,Central,Office Supplies,Paper,Paper Model 684,629.04,5,0.2,31.46
ORD-100158,08-10-2022,09-10-2022,Customer 354,Corporate,San Jose,IL,West,Office Supplies,Appliances,Appliances Model 392,677.8,3,0.2,37.81
ORD-100159,07-03-2023,11-03-2023,Customer 55,Consumer,San Diego,AZ,Central,Furniture,Furnishings,Furnishings Model 519,355.49,8,0.1,68.88
ORD-100160,18-11-2023,19-11-2023,Customer 359,Corporate,New York,TX,Central,Office Supplies,Storage,Storage Model 868,586.32,1,0.2,25.65
ORD-100161,25-09-2024,28-09-2024,Customer 467,Home Office,San Jose,IL,West,Technology,Phones,Phones Model 262,72.37,3,0.1,11.05
ORD-100162,16-09-2024,21-09-2024,Customer 113,Home Office,Houston,AZ,Central,Office Supplies,Storage,Storage Model 949,564.41,3,0.2,28.21
ORD-100163,03-10-2024,08-10-2024,Customer 322,Consumer,New York,IL,South,Office Supplies,Paper,Paper Model 548,752.28,1,0.15,66.48
ORD-100164,08-06-2024,10-06-2024,Customer 375,Consumer,Los Angeles,IL,Central,Technology,Machines,Machines Model 910,578.13,9,0.1,106.62
ORD-100165,09-07-2021,14-07-2021,Customer 90,Consumer,Chicago,AZ,Central,Office Supplies,Appliances,Appliances Model 189,937.27,9,0.1,133.37
ORD-100166,02-06-2024,07-06-2024,Customer 426,Consumer,Phoenix,TX,Central,Office Supplies,Storage,Storage Model 616,899.61,1,0.15,101.36
ORD-100167,30-07-2024,04-08-2024,Customer 412,Consumer,San Jose,NY,West,Office Supplies,Storage,Storage Model 586,755.77,7,0.3,-42.21
ORD-100168,25-09-2022,28-09-2022,Customer 496,Home Office,Dallas,NY,South,Technology,Copiers,Copiers Model 706,50.44,6,0.15,4.98
ORD-100169,20-09-2022,25-09-2022,Customer 275,Consumer,San Jose,IL,Central,Technology,Machines,Machines Model 415,843.97,5,0.2,38.82
ORD-100170,31-08-2023,06-09-2023,Customer 422,Home Office,Dallas,NY,West,Office Supplies,Appliances,Appliances Model 464,293.88,5,0.1,49.25
ORD-100171,06-07-2024,11-07-2024,Customer 318,Home Office,Dallas,AZ,West,Furniture,Chairs,Chairs Model 356,646.98,3,0.05,122.21
ORD-100172,14-10-2024,19-10-2024,Customer 326,Corporate,Phoenix,TX,East,Office Supplies,Binders,Binders Model 649,25.24,6,0.2,1.59
ORD-100173,11-12-2022,12-12-2022,Customer 485,Consumer,Phoenix,TX,East,Technology,Phones,Phones Model 875,114.2,1,0.1,17.57
ORD-100174,11-10-2022,14-10-2022,Customer 455,Home Office,Chicago,TX,South,Technology,Accessories,Accessories Model 435,196.05,8,0,58.13
ORD-100175,14-11-2021,16-11-2021,Customer 301,Home Office,Chicago,TX,East,Furniture,Furnishings,Furnishings Model 502,877.11,5,0.2,44.29
ORD-100176,02-06-2024,03-06-2024,Customer 481,Corporate,New York,IL,West,Furniture,Furnishings,Furnishings Model 322,671.97,8,0.15,53.65
ORD-100177,11-06-2024,15-06-2024,Customer 487,Consumer,Dallas,NY,Central,Furniture,Furnishings,Furnishings Model 983,315.21,2,0,76.19
ORD-100178,15-11-2022,18-11-2022,Customer 32,Corporate,Phoenix,CA,East,Office Supplies,Storage,Storage Model 348,746.81,2,0.05,163.91
ORD-100179,26-10-2022,01-11-2022,Customer 340,Consumer,New York,NY,Central,Furniture,Chairs,Chairs Model 905,456.86,4,0,140.89
ORD-100180,29-10-2024,01-11-2024,Customer 403,Home Office,Houston,NY,West,Technology,Accessories,Accessories Model 169,262.26,6,0,80.58
ORD-100181,10-06-2024,14-06-2024,Customer 417,Consumer,Dallas,CA,East,Office Supplies,Paper,Paper Model 287,568.29,8,0.2,26.57
ORD-100182,11-02-2024,15-02-2024,Customer 67,Home Office,Phoenix,CA,East,Furniture,Tables,Tables Model 666,869.36,7,0,220.97
ORD-100183,18-03-2022,22-03-2022,Customer 68,Consumer,Dallas,CA,Central,Office Supplies,Binders,Binders Model 121,843.59,7,0.3,-41.42
ORD-100184,18-07-2022,20-07-2022,Customer 136,Consumer,Chicago,TX,East,Technology,Accessories,Accessories Model 813,263.96,5,0.05,44.23
